Species	DAR	Dish	Germinated	Germinable
ANCO	YES	A	10	24
ANCO	YES	B	17	23
ANCO	YES	C	10	23
ANCO	YES	D	10	25
ANVU	YES	A	22	22
ANVU	YES	B	22	24
ANVU	YES	C	23	23
ANVU	YES	D	24	25
CLLU	YES	A	20	20
CLLU	YES	B	19	19
CLLU	YES	C	23	23
CLLU	YES	D	22	23
ECPL	YES	A	7	22
ECPL	YES	B	7	23
ECPL	YES	C	6	21
ECPL	YES	D	9	23
HELE	YES	A	2	2
HELE	YES	B	2	2
HELE	YES	C	2	2
HELE	YES	D	0	0
MOMOINC	YES	A	14	24
MOMOINC	YES	B	15	25
MOMOINC	YES	C	18	25
MOMOINC	YES	D	15	25
NIDA	YES	A	9	25
NIDA	YES	B	15	25
NIDA	YES	C	11	25
NIDA	YES	D	11	25
SCAT	YES	A	22	25
SCAT	YES	B	20	25
SCAT	YES	C	21	25
SCAT	YES	D	23	25
STAR	YES	A	1	13
STAR	YES	B	2	8
STAR	YES	C	4	14
STAR	YES	D	1	7
TOBA	YES	A	18	18
TOBA	YES	B	19	20
TOBA	YES	C	22	22
TOBA	YES	D	15	15
TOMA	YES	A	20	25
TOMA	YES	B	22	23
TOMA	YES	C	23	24
TOMA	YES	D	21	23
ANCO	NO	A	0	23
ANCO	NO	B	0	21
ANCO	NO	C	0	22
ANCO	NO	D	1	23
ANVU	NO	A	23	23
ANVU	NO	B	22	23
ANVU	NO	C	22	23
ANVU	NO	D	22	23
CLLU	NO	A	18	25
CLLU	NO	B	15	23
CLLU	NO	C	16	23
CLLU	NO	D	14	24
ECPL	NO	A	13	21
ECPL	NO	B	5	22
ECPL	NO	C	10	24
ECPL	NO	D	10	18
HELE	NO	A	1	1
HELE	NO	B	4	4
HELE	NO	C	5	5
HELE	NO	D	2	2
MEOR	NO	A	0	0
MEOR	NO	B	3	3
MEOR	NO	C	3	3
MEOR	NO	D	2	2
MOMOINC	NO	A	8	24
MOMOINC	NO	B	9	24
MOMOINC	NO	C	6	25
MOMOINC	NO	D	8	24
NIDA	NO	A	18	25
NIDA	NO	B	17	25
NIDA	NO	C	19	25
NIDA	NO	D	16	25
SCAT	NO	A	10	24
SCAT	NO	B	6	24
SCAT	NO	C	14	24
SCAT	NO	D	11	24
STAR	NO	A	5	12
STAR	NO	B	1	2
STAR	NO	C	5	7
STAR	NO	D	2	7
TOBA	NO	A	21	21
TOBA	NO	B	21	21
TOBA	NO	C	17	17
TOBA	NO	D	18	20
TOMA	NO	A	5	25
TOMA	NO	B	4	24
TOMA	NO	C	11	25
TOMA	NO	D	13	25
TUGU	NO	A	2	25
TUGU	NO	B	3	25
TUGU	NO	C	0	25
TUGU	NO	D	1	26
