Species	MPa	Dish	Germinated	Germinable
ANCO	control	A	10	24
ANCO	control	B	17	23
ANCO	control	C	10	23
ANCO	control	D	10	25
ANCO	MPa-0.1	A	5	23
ANCO	MPa-0.1	B	13	23
ANCO	MPa-0.1	C	13	24
ANCO	MPa-0.1	D	9	25
ANCO	MPa-0.2	A	10	24
ANCO	MPa-0.2	B	9	25
ANCO	MPa-0.2	C	10	25
ANCO	MPa-0.2	D	9	22
ANCO	MPa-0.3	A	7	24
ANCO	MPa-0.3	B	11	23
ANCO	MPa-0.3	C	11	23
ANCO	MPa-0.3	D	17	25
ANCO	MPa-0.4	A	3	23
ANCO	MPa-0.4	B	1	22
ANCO	MPa-0.4	C	1	20
ANCO	MPa-0.4	D	0	19
ANCO	MPa-0.6	A	8	23
ANCO	MPa-0.6	B	7	25
ANCO	MPa-0.6	C	8	24
ANCO	MPa-0.6	D	10	25
ANCO	MPa-0.8	A	9	21
ANCO	MPa-0.8	B	7	21
ANCO	MPa-0.8	C	12	24
ANCO	MPa-0.8	D	8	17
ANCO	MPa-1	A	9	24
ANCO	MPa-1	B	4	21
ANCO	MPa-1	C	6	23
ANCO	MPa-1	D	8	24
ANVU	control	A	22	22
ANVU	control	B	22	24
ANVU	control	C	23	23
ANVU	control	D	24	25
ANVU	MPa-0.1	A	22	22
ANVU	MPa-0.1	B	23	23
ANVU	MPa-0.1	C	23	23
ANVU	MPa-0.1	D	21	22
ANVU	MPa-0.2	A	20	21
ANVU	MPa-0.2	B	19	22
ANVU	MPa-0.2	C	22	23
ANVU	MPa-0.2	D	23	24
ANVU	MPa-0.3	A	18	22
ANVU	MPa-0.3	B	21	22
ANVU	MPa-0.3	C	17	20
ANVU	MPa-0.3	D	20	22
ANVU	MPa-0.4	A	13	22
ANVU	MPa-0.4	B	10	21
ANVU	MPa-0.4	C	18	23
ANVU	MPa-0.4	D	5	17
ANVU	MPa-0.6	A	20	24
ANVU	MPa-0.6	B	19	20
ANVU	MPa-0.6	C	12	12
ANVU	MPa-0.6	D	19	20
ANVU	MPa-0.8	A	11	14
ANVU	MPa-0.8	B	7	21
ANVU	MPa-0.8	C	14	22
ANVU	MPa-0.8	D	13	19
ANVU	MPa-1	A	4	20
ANVU	MPa-1	B	1	21
ANVU	MPa-1	C	2	23
ANVU	MPa-1	D	3	23
CLLU	control	A	20	20
CLLU	control	B	19	19
CLLU	control	C	23	23
CLLU	control	D	22	23
CLLU	MPa-0.1	A	24	24
CLLU	MPa-0.1	B	22	23
CLLU	MPa-0.1	C	24	24
CLLU	MPa-0.1	D	24	24
CLLU	MPa-0.2	A	24	24
CLLU	MPa-0.2	B	19	19
CLLU	MPa-0.2	C	19	19
CLLU	MPa-0.2	D	19	20
CLLU	MPa-0.3	A	21	21
CLLU	MPa-0.3	B	24	24
CLLU	MPa-0.3	C	22	23
CLLU	MPa-0.3	D	23	23
CLLU	MPa-0.4	A	25	25
CLLU	MPa-0.4	B	22	22
CLLU	MPa-0.4	C	21	21
CLLU	MPa-0.4	D	22	23
CLLU	MPa-0.6	A	20	22
CLLU	MPa-0.6	B	17	18
CLLU	MPa-0.6	C	16	18
CLLU	MPa-0.6	D	8	9
CLLU	MPa-0.8	A	15	18
CLLU	MPa-0.8	B	17	24
CLLU	MPa-0.8	C	13	16
CLLU	MPa-0.8	D	18	20
CLLU	MPa-1	A	2	20
CLLU	MPa-1	B	4	20
CLLU	MPa-1	C	10	21
CLLU	MPa-1	D	10	21
ECPL	control	A	7	22
ECPL	control	B	7	23
ECPL	control	C	6	21
ECPL	control	D	9	23
ECPL	MPa-0.1	A	4	21
ECPL	MPa-0.1	B	7	23
ECPL	MPa-0.1	C	6	25
ECPL	MPa-0.1	D	11	22
ECPL	MPa-0.2	A	7	20
ECPL	MPa-0.2	B	10	23
ECPL	MPa-0.2	C	10	25
ECPL	MPa-0.2	D	3	22
ECPL	MPa-0.3	A	2	21
ECPL	MPa-0.3	B	7	22
ECPL	MPa-0.3	C	9	23
ECPL	MPa-0.3	D	7	23
ECPL	MPa-0.4	A	2	24
ECPL	MPa-0.4	B	8	22
ECPL	MPa-0.4	C	10	25
ECPL	MPa-0.4	D	3	17
ECPL	MPa-0.6	A	7	24
ECPL	MPa-0.6	B	7	24
ECPL	MPa-0.6	C	5	19
ECPL	MPa-0.6	D	7	23
ECPL	MPa-0.8	A	2	17
ECPL	MPa-0.8	B	5	23
ECPL	MPa-0.8	C	1	17
ECPL	MPa-0.8	D	2	20
ECPL	MPa-1	A	1	22
ECPL	MPa-1	B	0	23
ECPL	MPa-1	C	0	22
ECPL	MPa-1	D	0	23
MOMO	control	A	13	24
MOMO	control	B	15	25
MOMO	control	C	17	25
MOMO	control	D	15	25
MOMO	MPa-0.1	A	11	25
MOMO	MPa-0.1	B	8	25
MOMO	MPa-0.1	C	8	23
MOMO	MPa-0.1	D	9	24
MOMO	MPa-0.2	A	9	25
MOMO	MPa-0.2	B	7	25
MOMO	MPa-0.2	C	11	25
MOMO	MPa-0.2	D	11	25
MOMO	MPa-0.3	A	11	24
MOMO	MPa-0.3	B	13	25
MOMO	MPa-0.3	C	11	25
MOMO	MPa-0.3	D	10	25
MOMO	MPa-0.4	A	11	24
MOMO	MPa-0.4	B	5	23
MOMO	MPa-0.4	C	12	25
MOMO	MPa-0.4	D	8	25
MOMO	MPa-0.6	A	6	25
MOMO	MPa-0.6	B	9	25
MOMO	MPa-0.6	C	6	25
MOMO	MPa-0.6	D	9	24
MOMO	MPa-0.8	A	6	25
MOMO	MPa-0.8	B	8	24
MOMO	MPa-0.8	C	9	25
MOMO	MPa-0.8	D	5	24
MOMO	MPa-1	A	3	23
MOMO	MPa-1	B	1	23
MOMO	MPa-1	C	2	25
MOMO	MPa-1	D	6	25
NIDA	control	A	9	25
NIDA	control	B	15	25
NIDA	control	C	11	25
NIDA	control	D	11	25
NIDA	MPa-0.1	A	17	25
NIDA	MPa-0.1	B	23	25
NIDA	MPa-0.1	C	20	25
NIDA	MPa-0.1	D	18	25
NIDA	MPa-0.2	A	19	24
NIDA	MPa-0.2	B	17	25
NIDA	MPa-0.2	C	22	25
NIDA	MPa-0.2	D	22	25
NIDA	MPa-0.3	A	24	25
NIDA	MPa-0.3	B	20	25
NIDA	MPa-0.3	C	18	25
NIDA	MPa-0.3	D	17	25
NIDA	MPa-0.4	A	19	25
NIDA	MPa-0.4	B	18	25
NIDA	MPa-0.4	C	19	25
NIDA	MPa-0.4	D	21	25
NIDA	MPa-0.6	A	20	25
NIDA	MPa-0.6	B	18	25
NIDA	MPa-0.6	C	21	25
NIDA	MPa-0.6	D	18	25
NIDA	MPa-0.8	A	21	27
NIDA	MPa-0.8	B	18	25
NIDA	MPa-0.8	C	19	25
NIDA	MPa-0.8	D	21	25
NIDA	MPa-1	A	18	25
NIDA	MPa-1	B	18	25
NIDA	MPa-1	C	18	25
NIDA	MPa-1	D	20	25
SCAT	control	A	22	25
SCAT	control	B	20	25
SCAT	control	C	21	25
SCAT	control	D	23	25
SCAT	MPa-0.1	A	19	25
SCAT	MPa-0.1	B	20	25
SCAT	MPa-0.1	C	19	25
SCAT	MPa-0.1	D	21	25
SCAT	MPa-0.2	A	14	25
SCAT	MPa-0.2	B	18	25
SCAT	MPa-0.2	C	19	26
SCAT	MPa-0.2	D	21	25
SCAT	MPa-0.3	A	16	25
SCAT	MPa-0.3	B	19	24
SCAT	MPa-0.3	C	21	26
SCAT	MPa-0.3	D	18	25
SCAT	MPa-0.4	A	18	25
SCAT	MPa-0.4	B	16	25
SCAT	MPa-0.4	C	15	25
SCAT	MPa-0.4	D	19	25
SCAT	MPa-0.6	A	10	25
SCAT	MPa-0.6	B	11	25
SCAT	MPa-0.6	C	17	25
SCAT	MPa-0.6	D	12	25
SCAT	MPa-0.8	A	8	25
SCAT	MPa-0.8	B	12	25
SCAT	MPa-0.8	C	11	25
SCAT	MPa-0.8	D	10	25
SCAT	MPa-1	A	1	25
SCAT	MPa-1	B	2	25
SCAT	MPa-1	C	1	25
SCAT	MPa-1	D	0	25
STAR	control	A	1	13
STAR	control	B	2	8
STAR	control	C	4	14
STAR	control	D	1	7
STAR	MPa-0.1	A	4	9
STAR	MPa-0.1	B	2	8
STAR	MPa-0.1	C	0	13
STAR	MPa-0.1	D	0	11
STAR	MPa-0.2	A	0	10
STAR	MPa-0.2	B	0	12
STAR	MPa-0.2	C	1	9
STAR	MPa-0.2	D	0	11
STAR	MPa-0.3	A	0	5
STAR	MPa-0.3	B	0	4
STAR	MPa-0.3	C	0	3
STAR	MPa-0.3	D	3	8
STAR	MPa-0.4	A	0	6
STAR	MPa-0.4	B	1	5
STAR	MPa-0.4	C	0	2
STAR	MPa-0.4	D	0	8
STAR	MPa-0.6	A	0	11
STAR	MPa-0.6	B	1	15
STAR	MPa-0.6	C	0	9
STAR	MPa-0.6	D	0	9
STAR	MPa-0.8	A	0	4
STAR	MPa-0.8	B	0	7
STAR	MPa-0.8	C	0	9
STAR	MPa-0.8	D	1	7
STAR	MPa-1	A	0	11
STAR	MPa-1	B	0	11
STAR	MPa-1	C	0	14
STAR	MPa-1	D	1	6
TOBA	control	A	18	18
TOBA	control	B	19	20
TOBA	control	C	22	22
TOBA	control	D	15	15
TOBA	MPa-0.1	A	19	19
TOBA	MPa-0.1	B	14	15
TOBA	MPa-0.1	C	16	16
TOBA	MPa-0.1	D	17	17
TOBA	MPa-0.2	A	14	14
TOBA	MPa-0.2	B	13	15
TOBA	MPa-0.2	C	17	17
TOBA	MPa-0.2	D	19	20
TOBA	MPa-0.3	A	17	17
TOBA	MPa-0.3	B	15	16
TOBA	MPa-0.3	C	15	15
TOBA	MPa-0.3	D	15	15
TOBA	MPa-0.4	A	15	18
TOBA	MPa-0.4	B	20	23
TOBA	MPa-0.4	C	17	19
TOBA	MPa-0.4	D	16	17
TOBA	MPa-0.6	A	9	19
TOBA	MPa-0.6	B	10	17
TOBA	MPa-0.6	C	15	17
TOBA	MPa-0.6	D	13	17
TOBA	MPa-0.8	A	3	20
TOBA	MPa-0.8	B	2	10
TOBA	MPa-0.8	C	8	15
TOBA	MPa-0.8	D	10	17
TOBA	MPa-1	A	0	12
TOBA	MPa-1	B	1	12
TOBA	MPa-1	C	1	18
TOBA	MPa-1	D	1	15
TOMA	control	A	20	25
TOMA	control	B	22	23
TOMA	control	C	23	24
TOMA	control	D	21	23
TOMA	MPa-0.1	A	20	22
TOMA	MPa-0.1	B	22	24
TOMA	MPa-0.1	C	23	23
TOMA	MPa-0.1	D	21	23
TOMA	MPa-0.2	A	17	24
TOMA	MPa-0.2	B	21	25
TOMA	MPa-0.2	C	15	21
TOMA	MPa-0.2	D	17	25
TOMA	MPa-0.3	A	17	24
TOMA	MPa-0.3	B	24	25
TOMA	MPa-0.3	C	21	24
TOMA	MPa-0.3	D	16	22
TOMA	MPa-0.4	A	18	24
TOMA	MPa-0.4	B	13	22
TOMA	MPa-0.4	C	17	25
TOMA	MPa-0.4	D	18	21
TOMA	MPa-0.6	A	9	24
TOMA	MPa-0.6	B	4	25
TOMA	MPa-0.6	C	11	24
TOMA	MPa-0.6	D	6	23
TOMA	MPa-0.8	A	1	20
TOMA	MPa-0.8	B	0	21
TOMA	MPa-0.8	C	2	23
TOMA	MPa-0.8	D	1	24
TOMA	MPa-1	A	0	20
TOMA	MPa-1	B	0	22
TOMA	MPa-1	C	0	24
TOMA	MPa-1	D	1	24
