Species	Temperature	Oscillation	Dish	Germinated	Germinable
ANCO	10C	alternate	A	0	22
ANCO	10C	alternate	B	0	23
ANCO	10C	alternate	C	1	25
ANCO	10C	alternate	D	0	24
ANCO	10C	constant	A	0	23
ANCO	10C	constant	B	1	21
ANCO	10C	constant	C	0	21
ANCO	10C	constant	D	0	21
ANCO	15C	alternate	A	0	23
ANCO	15C	alternate	B	0	21
ANCO	15C	alternate	C	0	22
ANCO	15C	alternate	D	1	23
ANCO	15C	constant	A	0	21
ANCO	15C	constant	B	2	21
ANCO	15C	constant	C	0	20
ANCO	15C	constant	D	1	22
ANCO	20C	alternate	A	0	22
ANCO	20C	alternate	B	1	24
ANCO	20C	alternate	C	1	22
ANCO	20C	alternate	D	0	22
ANCO	20C	constant	A	1	20
ANCO	20C	constant	B	0	18
ANCO	20C	constant	C	0	22
ANCO	20C	constant	D	2	20
ANCO	25C	alternate	A	0	22
ANCO	25C	alternate	B	2	24
ANCO	25C	alternate	C	0	22
ANCO	25C	alternate	D	3	25
ANCO	25C	constant	A	4	25
ANCO	25C	constant	B	0	22
ANCO	25C	constant	C	1	27
ANCO	25C	constant	D	0	22
ANCO	5C	constant	A	0	23
ANCO	5C	constant	B	0	22
ANCO	5C	constant	C	1	24
ANCO	5C	constant	D	0	23
ANVU	10C	alternate	A	22	22
ANVU	10C	alternate	B	23	24
ANVU	10C	alternate	C	24	24
ANVU	10C	alternate	D	22	22
ANVU	10C	constant	A	21	23
ANVU	10C	constant	B	21	23
ANVU	10C	constant	C	19	23
ANVU	10C	constant	D	23	23
ANVU	15C	alternate	A	23	23
ANVU	15C	alternate	B	22	23
ANVU	15C	alternate	C	22	23
ANVU	15C	alternate	D	22	23
ANVU	15C	constant	A	23	23
ANVU	15C	constant	B	21	23
ANVU	15C	constant	C	20	23
ANVU	15C	constant	D	21	23
ANVU	20C	alternate	A	14	23
ANVU	20C	alternate	B	17	23
ANVU	20C	alternate	C	13	23
ANVU	20C	alternate	D	15	23
ANVU	20C	constant	A	18	23
ANVU	20C	constant	B	18	23
ANVU	20C	constant	C	20	23
ANVU	20C	constant	D	19	23
ANVU	25C	alternate	A	7	22
ANVU	25C	alternate	B	19	22
ANVU	25C	alternate	C	18	24
ANVU	25C	alternate	D	11	23
ANVU	25C	constant	A	13	23
ANVU	25C	constant	B	16	23
ANVU	25C	constant	C	15	23
ANVU	25C	constant	D	10	23
ANVU	5C	constant	A	21	23
ANVU	5C	constant	B	19	23
ANVU	5C	constant	C	20	23
ANVU	5C	constant	D	23	24
CLLU	10C	alternate	A	13	24
CLLU	10C	alternate	B	16	23
CLLU	10C	alternate	C	14	23
CLLU	10C	alternate	D	13	24
CLLU	10C	constant	A	14	25
CLLU	10C	constant	B	14	23
CLLU	10C	constant	C	18	23
CLLU	10C	constant	D	19	24
CLLU	15C	alternate	A	18	25
CLLU	15C	alternate	B	15	23
CLLU	15C	alternate	C	16	23
CLLU	15C	alternate	D	14	24
CLLU	15C	constant	A	21	25
CLLU	15C	constant	B	22	22
CLLU	15C	constant	C	20	23
CLLU	15C	constant	D	22	24
CLLU	20C	alternate	A	10	25
CLLU	20C	alternate	B	16	23
CLLU	20C	alternate	C	15	23
CLLU	20C	alternate	D	15	24
CLLU	20C	constant	A	9	25
CLLU	20C	constant	B	11	23
CLLU	20C	constant	C	9	23
CLLU	20C	constant	D	12	24
CLLU	25C	alternate	A	11	25
CLLU	25C	alternate	B	9	23
CLLU	25C	alternate	C	7	23
CLLU	25C	alternate	D	8	24
CLLU	25C	constant	A	5	25
CLLU	25C	constant	B	9	23
CLLU	25C	constant	C	9	23
CLLU	25C	constant	D	6	24
CLLU	5C	constant	A	15	25
CLLU	5C	constant	B	16	23
CLLU	5C	constant	C	23	23
CLLU	5C	constant	D	24	24
ECPL	10C	alternate	A	7	25
ECPL	10C	alternate	B	2	25
ECPL	10C	alternate	C	3	24
ECPL	10C	alternate	D	4	25
ECPL	10C	constant	A	7	23
ECPL	10C	constant	B	7	18
ECPL	10C	constant	C	9	23
ECPL	10C	constant	D	8	25
ECPL	15C	alternate	A	13	21
ECPL	15C	alternate	B	5	22
ECPL	15C	alternate	C	10	24
ECPL	15C	alternate	D	10	18
ECPL	15C	constant	A	11	20
ECPL	15C	constant	B	14	24
ECPL	15C	constant	C	11	21
ECPL	15C	constant	D	14	24
ECPL	20C	alternate	A	8	25
ECPL	20C	alternate	B	7	25
ECPL	20C	alternate	C	11	25
ECPL	20C	alternate	D	11	24
ECPL	20C	constant	A	9	23
ECPL	20C	constant	B	6	23
ECPL	20C	constant	C	9	23
ECPL	20C	constant	D	6	25
ECPL	25C	alternate	A	9	24
ECPL	25C	alternate	B	8	19
ECPL	25C	alternate	C	10	20
ECPL	25C	alternate	D	8	23
ECPL	25C	constant	A	3	21
ECPL	25C	constant	B	5	17
ECPL	25C	constant	C	10	27
ECPL	25C	constant	D	4	21
HELE	10C	alternate	A	1	1
HELE	10C	alternate	B	1	1
HELE	10C	alternate	C	2	2
HELE	10C	alternate	D	2	2
HELE	10C	constant	A	3	3
HELE	10C	constant	B	3	3
HELE	10C	constant	C	4	4
HELE	10C	constant	D	4	4
HELE	15C	alternate	A	1	1
HELE	15C	alternate	B	4	4
HELE	15C	alternate	C	5	5
HELE	15C	alternate	D	2	2
HELE	15C	constant	A	3	3
HELE	15C	constant	B	5	5
HELE	15C	constant	C	6	6
HELE	15C	constant	D	5	5
HELE	20C	alternate	A	3	3
HELE	20C	alternate	B	3	3
HELE	20C	alternate	C	3	3
HELE	20C	alternate	D	5	5
HELE	20C	constant	A	5	5
HELE	20C	constant	B	3	3
HELE	20C	constant	C	1	1
HELE	20C	constant	D	4	4
HELE	25C	alternate	A	1	1
